user_id,early_avg_recall,early_avg_delta,early_std_delta,early_avg_difficulty
u:gIqf,0.7525,52.95,173.1787865,0.768495671
u:gIrv,0.85,0,0,0.910411937
u:gIt1,0.988636364,33.5,94.75230868,0.910818713
u:gItu,0.910833333,0,0,0.921312576
u:gIw7,0.75,78.6,235.789469,0.882442848
u:gIwN,1,0,0,0.943937198
u:gIy6,0.95,0,0,0.91815873
u:gIyR,0.7875,0,0,0.889688353
u:gIyX,1,0,0,0.989285714
u:gJ-W,0.952380952,0,0,0.923809524
u:gJ5_,0.923333333,224.7,616.8272043,0.845546218
u:gJ8L,0.891666667,8.25,36.89512163,0.97297619
u:gJBp,0.766170635,0,0,0.839583333
u:gJCH,1,1623.25,7259.394689,0.903580234
u:gJD0,0.825,0,0,0.888472177
u:gJDr,0.859880952,0,0,0.87530303
u:gJER,0.75,0,0,0.853333333
u:gJEg,0.9,0,0,0.85969278
u:gJMh,0.925,0,0,0.94891541
u:gJNq,1,0,0,0.964285714
u:gJO1,0.95,0,0,0.961548679
u:gJO4,0.833333333,0,0,0.934799241
u:gJOv,0.95,0,0,0.908333333
u:gJOz,0.888095238,0,0,0.835714286
u:gJPP,0.9,106.1,474.4936248,0.896401323
u:gJUu,0.782051282,41,147.8276023,0.957489879
u:gJW2,0.975,0,0,0.9439598
u:gJWI,1,0,0,0.940281298
u:gJWV,0.825,0,0,0.89183652
u:gJWi,0.95,0,0,0.9675
u:gJXZ,0.958333333,0,0,0.904386595
u:gJYF,0.916666667,0,0,0.8875
u:gJZ6,1,0,,1
u:gJ_4,0.95,0,0,0.940992236
u:gJaA,1,0,0,1
u:gJf1,1,683,965.9078631,0.645833333
u:gJiF,1,0,0,0.91444508
u:gJjx,1,42.1,188.2769237,0.937540726
u:gJq8,0.9125,29.5,100.3921259,1
u:gJsY,0.95,0,0,0.948000715
u:gJtI,0.714285714,0,,0.666666667
u:gJvq,0.9125,0,0,0.902491862
u:gJwJ,0.9,0,0,0.75
u:gJxQ,0.866666667,0,0,0.980454545
u:gJxW,1,0,0,0.857142857
u:gK-l,0.8,0,,1
u:gK1I,0.611111111,1124.5,1590.283151,0.875
u:gK2b,0.833333333,3978.75,11253.60442,0.924245803
u:gK58,0.8,0,0,0.844583333
u:gK69,1,0,0,0.733333333
u:gK6s,0.85,0,0,0.873010652
u:gK7Q,1,0,,0.769230769
u:gK7z,0.75,0,,0.888888889
u:gK8t,0.75,0,,1
u:gKA3,0.875,0,0,0.904216384
u:gKA7,1,3284.4,14688.28333,0.806736111
u:gKAB,0.866666667,0,0,0.810433034
u:gKDE,0.966666667,0,0,0.892777778
u:gKFp,0.85,0,0,0.941845238
u:gKGh,1,241,340.8254685,0.833333333
u:gKGl,1,33.9,151.6054089,0.928506787
u:gKIO,0.663945578,0,0,0.760544218
u:gKJC,1,0,,0.827586207
u:gKLZ,0.9,0,0,0.969038562
u:gKLl,0.9,0,0,0.927083333
u:gKLr,0.898333333,47.4,153.6973787,0.940396755
u:gKNJ,0.95,0,0,0.915744048
u:gKNP,1,0,0,0.992222222
u:gKP9,0.833333333,0,0,0.839010989
u:gKPs,1,0,0,0.96375
u:gKQL,0.895833333,0,0,0.84375
u:gKQj,0.958333333,14.55,65.06957815,0.942683136
u:gKQs,0.857142857,0,,1
u:gKXh,0.75,22.05,72.96464537,0.896065636
u:gKbv,0.35,7.55,24.0842272,0.909342792
u:gKcn,1,0,,0.785714286
u:gKeS,0.87254902,0,0,0.755349284
u:gKfz,0.870833333,0,0,0.969078566
u:gKgI,1,0,0,0.932988945
u:gKhu,1,0,0,0.9625
u:gKiH,1,0,,1
u:gKmc,1,0,0,0.952921245
u:gKnE,0.683333333,0,0,0.85965766
u:gKou,0.95,0,0,0.886935943
u:gKqC,1,0,,1
u:gKqi,0.975,0,0,0.874377664
u:gKqq,1,0,0,1
u:gKrH,0.9,0,0,0.944076087
u:gKrp,0.876666667,0,0,0.893333333
u:gKsI,0.666666667,4,15.49193338,0.796279461
u:gKsU,0.983333333,83.75,279.1897817,0.891428571
u:gKsu,1,0,0,0.901474567
u:gKtU,1,3519.3,15618.22675,0.95952381
u:gKx3,0.975,98.7,394.7659,0.924583333
u:gKxb,0.933333333,43.4,136.0191163,0.881666667
u:gKye,0.95,0,0,0.959155599
u:gL-M,0.85,13.2,59.03219461,0.960037879
u:gL1x,0.915,0,0,0.754713802
u:gL3L,0.983333333,0,0,0.92702381
u:gL4J,1,44.7,151.8420578,0.931965442
u:gL54,0.933333333,0,0,0.916666667
u:gL7S,0.883333333,16.35,73.11942286,0.811010412
u:gL84,1,0,0,0.929492551
u:gL8G,0.958333333,19.45,86.98304432,0.937460317
u:gL8X,0.940476191,15.21428571,56.92664453,0.910126976
u:gLCM,0.9,0,,1
u:gLEV,0.85,0,0,0.929083482
u:gLFt,1,0,,1
u:gLGS,0.85,0,0,0.902491438
u:gLH3,0.75,0,,0.5
u:gLJe,0.9,0,0,0.911327561
u:gLK4,0.8,0,0,0.956287879
u:gLMm,0.95,0,0,0.914411558
u:gLOl,1,0,0,0.970357143
u:gLOq,1,0,0,0.890987437
u:gLQd,1,0,0,0.966681692
u:gLRC,0.5,0,0,1
u:gLU_,0.925,0,0,0.895416667
u:gLUl,1,11.2,50.0879227,0.9625
u:gLVr,0.871666667,2376.25,10213.0207,0.78785355
u:gLXe,0.9,0,0,0.882927489
u:gLZQ,1,12.65,56.57251983,0.949540652
u:gLZT,0.9625,2869.35,12755.36449,1
u:gLZx,1,0,,1
u:gL_n,0.266666667,0,0,0.475683555
u:gLaU,0.883333333,559,968.2164014,0.832010582
u:gLb9,1,121.2,481.2285375,1
u:gLg_,0.85,0,0,0.825725709
u:gLgj,1,0,0,0.944799377
u:gLiO,0.95,0,0,0.798672161
u:gLim,0.860544218,109.1428571,189.8029053,0.833847673
u:gLkn,0.961734694,25.14285714,66.52174725,0.912698413
u:gLmD,0.928571429,0,0,0.869342702
u:gLn9,1,0,0,0.99719697
u:gLoR,1,0,0,0.909681985
u:gLpk,0.95,0,0,0.84952381
u:gLqZ,0.85,0,0,0.891231823
u:gLsM,0.858333333,0,0,0.667079726
u:gLuW,0.858333333,0,0,0.884974747
u:gLv4,0.857142857,0,0,0.691391941
u:gLvC,1,102.35,321.0324258,0.819166667
u:gLwW,0.910357143,72,222.02987,0.941947073
u:gLxp,0.9,4.25,19.00657781,0.962853535
u:gM-F,0.841666667,0,0,0.842394481
u:gM0Z,0.8375,0,0,0.812547129
u:gM1e,0.870833333,9.05,40.47283039,0.955375954
u:gM2V,0.95,0,0,0.879879336
u:gM2i,0.933333333,0,0,0.916209554
u:gM3n,0.975,131.25,371.2310601,0.885416667
u:gM50,0.916666667,864.05,2914.697032,0.859256854
u:gM8j,0.841666667,0,0,0.8475
u:gMAT,0.95,0,0,0.912157822
u:gMBS,0.875,0,0,0.863885981
u:gMBV,0.846153846,0,0,0.775641026
u:gMBr,0.933333333,0,0,0.869487179
u:gMDa,0.946428571,1102.285714,4124.375485,0.900474129
u:gMHD,0.85,0,0,0.849785377
u:gMN4,1,0,,1
u:gMOi,0.725,0,0,0.915304473
u:gMTL,1,0,0,0.867857143
u:gMW1,0.858333333,0,0,0.865514342
u:gMW5,1,0,0,0.845692641
u:gMWr,0.941666667,23.16666667,80.25168742,0.899801587
u:gMa9,1,17.4,77.81516562,0.949221352
u:gMd2,0.85,0,0,0.97281485
u:gMdd,1,0,,0.857142857
u:gMfp,0.805555556,364.6666667,631.6211945,1
u:gMh5,0.825,0,0,0.910175273
u:gMj5,0.828205128,0,0,0.908021475
u:gMk4,1,0,0,0.925925926
u:gMkx,1,0,,0.5
u:gMpA,0.941666667,22.4,68.94650863,0.932339466
u:gMpF,0.85,0,0,0.911708621
u:gMq1,0.9875,758,2956.476726,0.912916667
u:gMqg,0.857142857,0,,0.789473684
u:gMrE,1,0,0,0.914683723
u:gMsc,0.925,0,0,0.916580276
u:gMuu,1,0,0,0.975528166
u:gMvi,1,18.4,58.82301734,0.981630076
u:gMwB,0.85,0,0,0.932741158
u:gMwm,0.908333333,0,0,0.897613435
u:gMyx,0.808333333,0,0,0.85875
u:gN-k,1,0,0,0.931908898
u:gN0d,0.875,0,0,0.942582418
u:gN0m,0.958333333,48.75,177.8884556,0.970833333
u:gN18,0.9,0,0,0.908011481
u:gN1K,0.953703704,71.44444444,154.4745257,0.923116353
u:gN2o,0.9,0,0,0.900245542
u:gN5r,0.95,0,0,0.877250761
u:gN95,0.910714286,24.71428571,92.4723897,0.857142857
u:gN9E,0.8,0,,1
u:gNCP,0.859166667,37.75,116.2419777,0.824801587
u:gNEF,0.9,0,0,0.923839037
u:gNF7,0.9,0,0,0.76728532
u:gNHA,0.708333333,23.65,105.7660153,0.812890589
u:gNM6,0.913333333,3687.75,11528.05245,0.944824764
u:gNNL,1,0,0,0.964285714
u:gNOc,0.9,0,0,0.92251462
u:gNQF,0.841666667,0,0,0.893120046
u:gNQc,0.688690476,430.1,1781.829837,0.666964049
u:gNRG,0.85,0,0,0.859161255
u:gNSD,0.875,0,0,0.896820856
u:gNSO,0.965,21.6,66.48339722,0.863967611
u:gNU_,1,28.8,128.7975155,0.939305556
u:gNZK,0.875,0,0,0.880546782
u:gNbx,1,0,0,0.902134708
u:gNcQ,0.860416667,9.7,43.37971876,0.868744854
u:gNep,0.944444444,0,0,0.97979798
u:gNez,0.95,0,0,0.849688773
u:gNfN,1,0,0,0.883362193
u:gNiF,1,0,0,0.980227273
u:gNmM,0.95,0,0,0.965013014
u:gNo8,1,0,0,0.926899393
u:gNoI,1,0,0,0.894166667
u:gNoY,1,0,0,0.833333333
u:gNqx,0.964583333,27.5,84.64321405,0.747247899
u:gNri,0.808333333,0,0,0.9125
u:gNsk,0.95,0,0,0.940357143
u:gNsy,0.766666667,0,0,0.920260951
u:gNwR,0.85,23,66.26184105,0.868230201
u:gNwm,0.891774892,0,0,0.92327273
u:gNxw,0.89702381,16.5,73.79024326,0.894581514
u:gNz6,1,0,0,0.841166568
u:gO75,1,0,0,0.9478663
u:gO8C,0.888888889,0,0,0.847222222
u:gOCF,0.7,0,0,0.898882784
u:gOCy,0.95,14.45,64.62236455,0.923378299
u:gODC,0.925,0,0,0.972916667
u:gODM,0.84,355.65,1590.515152,0.919776607
u:gOD_,0.95,0,0,0.835977652
u:gOF-,1,0,0,0.939844322
u:gOFE,1,0,0,0.858762621
u:gOHC,0.92,22.6,69.56814153,0.885137085
u:gOHn,0.944444444,0,0,0.814814815
u:gOIB,0.857142857,0,0,0.803700309
u:gOIH,0.95,0,0,0.969750001
u:gOJ0,0.6,9.1,29.4455787,0.66541109
u:gOJs,1,0,0,1
u:gOKG,0.75,0,,1
u:gOKb,1,38.55,172.4008411,0.940621854
u:gOLd,0.94,372.65,1621.68672,0.836147007
u:gOME,1,0,0,0.977930036
u:gONT,1,48.75,97.5,1
u:gOOC,0.958333333,85.45,244.5841745,0.846547619
u:gOPZ,0.925,0,0,0.948290043
u:gOPy,0.866666667,0,0,0.710634921
u:gOQ-,0.9,0,0,0.871998874
u:gOQU,0.933333333,22.4,100.1758454,0.907787091
u:gOU0,0.9,0,0,0.887859848
u:gOVt,0.95,0,0,0.907533646
u:gOWx,0.95,0,0,0.975
u:gOY-,0.868055555,0,0,0.854166667
u:gOYJ,0.75,0,0,0.894432379
u:gO_y,0.95,69.35,310.1426285,0.742736715
u:gOaZ,0.883333333,0,0,0.871530006
u:gOf3,0.775,11.35,21.80843632,0.796021493
u:gOi6,0.850877193,0,0,0.828508772
u:gOiq,0.825,0,0,0.883257021
u:gOlI,0.9,0,0,0.875
u:gOov,0.7,0,0,0.892869152
u:gOpx,1,0,0,0.891369048
u:gOrF,0.75,0,0,0.8784841
u:gOsH,0.95,0,0,0.99
u:gOxZ,0.9,0,0,0.958333333
u:gP05,0.908333333,0,0,0.846904762
u:gP0J,0.861111111,0,0,0.875
u:gP10,0.916666667,142.5,201.5254326,1
u:gP1L,0.933333333,0,0,0.744021311
u:gP2d,0.571428571,0,0,0.933333333
u:gP38,1,0,0,0.804448622
u:gP3H,1,0,0,0.997233894
u:gP5u,1,0,0,0.916666667
u:gP89,0.929166667,0,0,0.925743472
u:gPBV,0.89,27.7,86.39267756,0.925523523
u:gPC_,0.94,58.95,221.1142774,0.931038961
u:gPDV,0.85,0,0,0.882916667
u:gPJF,1,291.5,412.2432534,1
u:gPJG,0.783333333,29.2,94.40037913,0.90125
u:gPKe,0.857142857,0,0,0.833333333
u:gPM3,0.8125,0,0,0.913888889
u:gPM6,0.833333333,0,0,0.844532513
u:gPMt,1,0,0,0.9375
u:gPNP,0.75,0,0,0.878677691
u:gPOZ,0.761904762,0,0,0.805612245
u:gPQ1,1,0,0,0.899544818
u:gPQH,0.9,0,0,0.895489007
u:gPSB,1,0,,1
u:gPVI,0.97,2398.9,10728.20694,0.828378627
u:gPXJ,0.8,16.75,74.90827725,0.967380952
u:gPZn,1,0,,1
u:gPaZ,0.8,0,,0.931818182
u:gPbM,1,0,0,0.969166667
u:gPbv,0.882051282,14.84615385,53.52856894,0.946153846
u:gPdF,0.925,0,0,0.958567
u:gPdw,0.880952381,0,0,0.892857143
u:gPg8,0.4,0,0,0.994594595
u:gPgA,0.941666667,0,0,0.926176807
u:gPhh,0.8,0,0,0.875352111
u:gPhl,0.983333333,38.3,125.8721574,0.888333333
u:gPht,0.9,0,0,0.96324419
u:gPl5,0.956666667,25.15,77.41023664,0.944150528
u:gPlL,0.825,0,0,0.952009358
u:gPls,0.67,5,22.36067977,0.729623016
u:gPpe,1,0,,1
u:gPpm,0.85,0,0,0.908971835
u:gPr4,0.825,0,0,0.880550589
u:gPrC,0.94,0,0,0.861591637
u:gPsI,0.775,0,0,0.9407493
u:gPsb,0.95,0,0,0.950089286
u:gPsn,0.983333333,26.55,83.82153661,0.960123218
u:gPva,0.973333333,447.45,1390.496105,0.982575758
u:gPxc,1,0,,1
u:gPy7,0.958333333,0,0,0.926297661
u:gPz2,1,0,,1
u:gPzG,1,995.875,2816.759863,0.943055556
u:gQ-5,0.875,3391.45,15167.02548,0.939171022
u:gQ1D,0.875,0,0,0.925
u:gQ5d,1,0,0,0.915
u:gQA8,0.775,0,0,0.878936831
u:gQB-,0.85,0,0,0.917753375
u:gQB8,0.9,0,0,0.834285714
u:gQFZ,0.95,0,0,0.914980159
u:gQHJ,0.857321429,285.4,1111.300253,0.846329473
u:gQJC,0.95,0,0,0.916702279
u:gQKG,0.875,0,0,0.848128621
u:gQLA,0.9,20.7,92.57321427,0.988888889
u:gQLE,0.975,24.75,110.6853649,0.954499515
u:gQMd,0.925,0,0,0.861661255
u:gQON,1,0,0,0.942874854
u:gQP6,0.75,0,0,0.847123016
u:gQTh,0.833333333,15.15,67.75285972,0.886800446
u:gQUY,1,0,0,0.932438672
u:gQV-,0.9,0,0,0.885832778
u:gQVR,0.902777778,0,0,0.944444444
u:gQWJ,0.857142857,0,0,0.951020408
u:gQY3,0.880952381,0,0,0.839739229
u:gQYL,0.866666667,0,0,0.87037037
u:gQYj,0.95,0,0,0.930634921
u:gQZW,0.9,0,0,0.85
u:gQZl,0.95,0,0,0.894872674
u:gQ_a,0.902777778,15,63.63961031,0.956648486
u:gQ_b,0.95,0,0,0.896237379
u:gQ_c,0.875,0,0,0.821428571
u:gQdC,0.831666667,20.2,90.33714629,0.917786099
u:gQek,0.55,69.5,310.8134489,0.70789412
u:gQf1,0.975,15.65,69.9889277,0.91412733
u:gQfd,0.925,0,0,0.930767682
u:gQfs,0.936507937,0,0,0.923809524
u:gQh-,0.95,0,0,0.910850053
u:gQhn,0.666666667,330.6666667,572.731467,0.833333333
u:gQj2,0.94,28.25,126.3378407,0.832664835
u:gQk_,0.933333333,0,0,0.888888889
u:gQmU,0.95,16.1,72.00138888,0.958333333
u:gQnR,0.791666667,86.7,387.7341873,0.905033851
u:gQpj,0.975,0,0,0.867337662
u:gQpx,0.8625,2057.35,9076.538978,0.838711735
u:gQqK,0.8875,0,0,0.929056777
u:gQrJ,1,0,0,0.908337732
u:gQs5,0.983333333,40.55,181.345113,0.914256575
u:gQsu,0.96969697,0,0,0.913245226
u:gQsy,0.5,0,,1
u:gQtD,0.95,0,0,0.903232323
u:gQxX,0.816666667,23.75,82.27241336,0.872222222
u:gQxm,1,0,0,0.894380942
u:gQz6,0.9,0,0,0.926267574
u:gR08,0.857142857,0,0,0.869047619
u:gR22,0.79,20.75,92.79682107,0.893234482
u:gR4H,0.85,0,0,0.939940761
u:gR4p,0.930357143,73.65,273.1144497,0.876190476
u:gR6Z,0.925,0,0,0.949144202
u:gR8F,0.983333333,13.85,61.93908298,0.954105237
u:gR9I,0.85,0,0,0.901281985
u:gR9n,0.6,3.45,15.42886904,0.872405512
u:gRAX,0.95,0,0,0.915740285
u:gRBm,0.948333333,279.6,1250.409213,0.900360151
u:gRCi,0.85,20.2,90.33714629,0.9825
u:gRHQ,1,0,0,0.902913392
u:gRI,1,0,0,0.848726507
u:gRKc,0.883333333,0,0,0.937993886
u:gRSg,0.780952381,11.71428571,43.83084367,0.755232478
u:gRUJ,0.725,25.3,113.1450397,0.849444444
u:gRVb,0.666666667,0,0,0.611111111
u:gRVs,0.783333333,0,0,0.761664863
u:gRYT,0.95,0,0,0.883258836
u:gRaS,0.9,4.35,19.4537914,0.923979492
u:gRb6,0.75,0,0,0.897776025
u:gRhZ,1,0,0,0.960142215
u:gRir,0.983333333,22.9,70.81324586,0.915833333
u:gRiu,0.775,0,0,0.931544911
u:gRl7,0.8,0,0,0.829166667
u:gRn6,0.976190476,12.85714286,48.10702354,0.935714286
u:gRne,0.875,0,0,1
u:gRo1,0.929166667,142.85,539.4815518,0.896939776
u:gRpm,0.8,0,0,0.847083333
u:gRqQ,0.895833333,20.25,70.14805771,0.910912698
u:gRqn,0.941666667,28.4,127.0086611,0.923913673
u:gRt3,0.875,0,0,0.922579694
u:gRy-,0.95,0,0,0.726009317
u:gRyH,0.954166667,50.1,162.2982634,0.897670385
u:gRys,0.8625,26,116.2755348,0.794166667
u:gRz6,0.8,0,0,0.89702381
u:gS33,1,0,0,0.95873669
u:gS4t,1,10.5,46.95742753,0.948958333
u:gS97,0.9,0,0,0.905104866
u:gS9S,0.853030303,0,0,0.863528139
u:gSBj,0.958333333,0,0,0.967767157
u:gSCc,0.9,6.7,29.9633109,0.961666667
u:gSDs,1,0,0,0.907417885
u:gSE6,0.875,70.875,283.5,0.807118056
u:gSFK,1,0,0,0.846609687
u:gSKV,0.891931217,18.94444444,80.37447079,0.73505291
u:gSLM,1,0,,1
u:gSOJ,0.875,0,0,0.886085716
u:gSQB,0.85,0,0,0.873262149
u:gSS3,0.875,78.6,351.5098861,0.882675439
u:gSUi,0.976190476,30.07142857,112.5169828,0.905952381
u:gSWb,0.93452381,140.3571429,525.1683404,0.885637973
u:gSWk,0.906666667,8.8,39.3547964,0.845839577
u:gSWq,0.906140351,0,0,0.776106934
u:gSYZ,0.925,9.35,41.81447118,0.905245223
u:gS_d,1,17,76.02631123,0.944999748
u:gS_j,0.925,19.25,59.2771146,0.843988095
u:gScD,0.9625,56.05,203.298193,0.906153846
u:gSdm,1,0,0,0.845238095
u:gSeM,0.929166667,229,888.0442734,0.837857143
u:gSgI,0.75,0,0,0.911644171
u:gSgR,0.875,0,0,0.953585895
u:gSgc,0.859803922,37.47058824,119.7028183,0.830999066
u:gSiU,0.966666667,48.25,215.7805598,0.95414341
u:gSih,0.970833333,3091.35,13666.42434,0.890942495
u:gSj,0.925,267.6,1196.743582,0.776764968
u:gSoL,0.933333333,0,0,0.944444444
u:gSpD,0.75,0,0,0.843253968
u:gSph,0.2,10.55,36.974351,0.62074658
u:gSqc,0.85,0,0,0.883145801
u:gSr1,1,9.3,29.40918224,0.930905696
u:gSr2,0.777777778,0,0,0.85
u:gSsR,1,29,116,0.855914225
u:gSuT,0.866666667,19.1,85.41779674,0.81684265
u:gSxn,0.95,0,0,0.830932239
u:gSy1,0.675,0,0,0.8904329
u:gSyf,0.861547619,19.95,61.41530325,0.870403055
u:gT-9,0.85,54.35,243.0605892,0.935919344
u:gT-l,0.6,3.15,14.08722826,0.900535356
u:gT0K,0.99,39.8,177.991011,0.905296671
u:gT0p,0.908333333,0,0,0.931300323
u:gT1N,0.9375,0,0,0.837079726
u:gT2r,0.95,0,0,0.893875153
u:gT3F,0.95,9.15,40.92004399,0.855249487
u:gT4n,0.8875,0,0,0.793716422
u:gT7M,0.85,0,0,0.909492754
u:gT8,0.725,44.55,166.050872,0.530093087
u:gT86,0.75,0,0,0.875634741
u:gT89,0.85,0,0,0.935394385
u:gT8j,0.921568627,0,0,0.962948578
u:gT9_,0.8,0,,0.916666667
u:gT9s,0.8875,0,0,0.820360024
u:gTGJ,0.918498168,0,0,0.934876235
u:gTGa,0.875,0,0,0.862846076
u:gTIJ,0.575,4.1,18.33575742,0.718333333
u:gTIS,0.943333333,66.15,211.8600022,0.918407196
u:gTIn,0.8,0,0,0.840654762
u:gTJZ,0.948129252,19.28571429,72.16053532,0.940161822
u:gTNj,0.908333333,0,0,0.946779019
u:gTRS,0.5,7.55,24.45721291,0.818929739
u:gTRw,0.775,0,0,0.929761905
u:gTSH,0.9,0,0,0.927474937
u:gTUI,0.85,0,0,0.892820513
u:gTVV,0.822222222,0,0,0.904634581
u:gTVe,1,0,0,0.757692308
u:gTVh,0.933333333,0,0,0.979487179
u:gTVs,1,0,0,0.842539683
u:gTWD,0.833333333,0,,0.4
u:gTXR,0.8,0,0,0.856697373
u:gTY7,0.95,0,0,0.884417634
u:gTYb,1,0,0,0.952380952
u:gT_F,1,0,,1
u:gT_K,0.833333333,0,,0.857142857
u:gTar,0.9,0,0,0.899576412
u:gTb2,1,22.35,99.95223859,0.872124915
u:gTbw,0.894761905,38.4,119.3007698,0.875694444
u:gTeZ,1,0,0,0.944444444
u:gTfh,0.883333333,0,0,0.937809527
u:gTm8,0.625,4.95,22.13707298,0.807075967
u:gTmd,0.944166667,70,178.6478453,0.950169956
u:gTn2,0.797222222,40.66666667,140.8734657,0.834227592
u:gTn4,0.9,7.65,34.21184006,0.951074032
u:gTol,0.925,0,0,1
u:gTqq,0.925,0,0,0.924547397
u:gTtK,0.9,850.4,3803.104416,0.897727273
u:gTux,0.95,0,0,0.850361919
u:gTxg,1,12.8,57.24334022,0.912575758
u:gU1X,0.914285714,25.78571429,96.48130833,0.914710884
u:gU2V,0.9,0,0,0.8775
u:gU8R,0.964285714,4670.357143,17474.8763,0.892857143
u:gU92,0.852941176,0,0,0.862745098
u:gU9U,0.935,0,0,0.768333333
u:gU9W,0.725,0,0,0.962420635
u:gUAO,0.9,8.75,39.13118961,0.923117168
u:gUD2,1,0,,1
u:gUDo,0.966666667,0,0,0.844907407
u:gUEb,0.851298701,0,0,0.977272727
u:gUFR,0.877380952,0,0,0.792857143
u:gUFj,1,0,0,0.95021645
u:gUJf,0.769230769,4.461538462,16.08630569,0.882361229
u:gUOh,0.925,0,0,0.894326282
u:gUPE,0.922619048,53.92857143,201.7822376,0.955668934
u:gUPc,0.958333333,0,0,0.914957876
u:gUQm,0.833333333,0,0,0.963636364
u:gUTH,0.973684211,0,0,0.860262657
u:gUW2,1,0,0,0.920177632
u:gUWr,0.975320513,82.75,254.7004174,0.976064687
u:gUYg,0.841233766,99.5,372.29491,0.848074988
u:gUZu,0.75,0,,0.666666667
u:gU_e,0.916666667,0,0,0.854245754
u:gU_v,0.875,0,0,0.868589398
u:gUa3,1,0,0,0.974920635
u:gUfs,1,0,0,0.770833333
u:gUjN,0.9,0,0,0.916508083
u:gUkL,0.758333333,0,0,0.86709218
u:gUlJ,0.908333333,147.6,406.703487,0.91015873
u:gUlp,0.95,0,0,0.851874668
u:gUne,0.921666667,8.1,36.22430124,0.781183261
u:gUob,0.9,0,0,0.933333333
u:gUpT,1,0,0,0.904055258
u:gUpV,0.675,0,0,0.886565657
u:gUvN,0.75,0,0,0.950833333
u:gUxP,0.825,4.4,19.6773982,0.751121015
u:gUyV,0.85,0,0,0.901872896
u:gV-L,0.975,0,0,0.905796148
u:gV-S,0.925,0,0,0.889599567
u:gV0E,0.85,0,0,0.861666667
u:gV1X,0.894736842,0,0,0.903769258
u:gV3c,0.679166667,11.35,50.75874309,0.764880952
u:gV4W,0.858333333,0,0,0.942156646
u:gV4u,0.85,7.75,34.65905365,0.793961483
u:gV5L,0.875,0,0,0.858690476
u:gV5e,0.9,7.9,24.31568694,0.596696429
u:gV6A,0.81,0,0,0.869119769
u:gV6h,0.873076923,145.5384615,524.7463856,0.926923077
u:gVBL,0.85,0,0,0.980064649
u:gVBd,0.808333333,0,0,0.924967401
u:gVBo,1,2114.2,9454.989836,0.992857143
u:gVCD,0.964285714,9.642857143,36.08026766,0.922542735
u:gVC_,1,0,0,0.900833333
u:gVCe,0.857142857,0,0,0.821428571
u:gVDF,0.875,0,0,0.852077318
u:gVDd,0.933333333,0,0,0.91231926
u:gVGz,0.830357143,1487.8,4740.844646,0.80875
u:gVHR,0.7,0,0,0.789205366
u:gVHZ,0.95,0,0,0.95625
u:gVIf,0.933333333,189.35,781.4445648,0.894166667
u:gVIn,0.849702381,0,0,0.796474359
u:gVLQ,0.864285714,0,0,0.833333333
u:gVOp,0.95,25.5,114.0394669,0.915871212
u:gVP_,0.816666667,0,0,0.834871615
u:gVQY,1,900.9285714,3370.966044,0.869047619
u:gVQr,1,6.75,30.1869177,1
u:gVRV,0.875,6.9,30.85773809,0.917857143
u:gVSP,1,257.9,707.9040152,0.945833333
u:gVZn,0.933333333,289.5,1245.230205,0.902943818
u:gVZv,1,0,0,0.941384534
u:gV_d,0.8,11.9,53.21841786,0.910819805
u:gVby,0.854166667,0,0,0.871717172
u:gVdx,0.85,0,0,0.937197862
u:gVfR,0.85,0,0,0.953869048
u:gViC,0.833333333,15.77777778,66.93944195,0.862213404
u:gViX,0.85,0,0,0.958376068
u:gViq,1,0,0,0.916666667
u:gVjD,0.835164835,9.538461538,34.39141217,0.860805861
u:gVlG,0.8,0,0,0.895600805
u:gVm5,1,0,,1
u:gVme,0.825,0,0,0.881632267
u:gVoj,0.85,0,0,0.926530079
u:gVu5,0.875,0,0,0.921053025
u:gVwc,0.833333333,0,0,0.976903407
u:gW--,0.9,0,0,0.976190476
u:gW0C,0.875,3.5,15.65247584,0.804083666
u:gW38,0.8625,0,0,0.89076453
u:gW3l,0.975,40.55,133.098094,0.938809034
u:gW8T,0.95,0,0,0.933333333
u:gW8a,0.983333333,0,0,0.956134951
u:gW9J,1,0,0,0.915022351
u:gWAz,0.95,6.65,29.7397041,0.894424603
u:gWBv,0.875,0,0,0.956785664
u:gWCh,0.858333333,0,0,0.87998296
u:gWD2,1,0,0,0.88808909
u:gWDu,0.725,0,0,0.895852995
u:gWE5,0.958690476,58.3,192.6425924,0.855316961
u:gWFy,0.833333333,0,,0.833333333
u:gWHg,1,0,0,0.91454038
u:gWHm,0.823333333,0,0,0.857017663
u:gWHr,0.9,0,0,0.899320285
u:gWIO,1,0,0,0.986469451
u:gWJl,0.95,0,0,0.868885589
u:gWKy,1,0,0,1
u:gWMB,0.95,0,0,0.829176032
u:gWMT,1,0,0,0.957414882
u:gWO3,1,0,0,0.865923327
u:gWOv,0.975,6.65,29.7397041,0.919152174
u:gWQi,0.9,0,0,0.942955802
u:gWS0,0.944444444,0,0,0.836447811
u:gWSD,0.808333333,10.35,46.28660713,0.809583333
u:gWSy,0.9125,0,0,0.874177987
u:gWUR,0.981481482,0,0,0.867171717
u:gWUd,1,29.85,133.4932583,0.917041418
u:gWUo,1,0,0,0.923974359
u:gWVF,1,0,0,1
u:gWX6,0.9875,0,0,0.893202178
u:gWYY,0.826666667,0,0,0.919521588
u:gW_R,1,0,0,0.853611111
u:gWaG,1,0,0,0.937064917
